version,attack_name,runs,trials,mean_balanced_accuracy,median_balanced_accuracy,mean_auc,min_auc,max_auc,above_chance_runs,auc_above_chance_runs,constant_prediction_runs,mean_tpr,mean_fpr
legacy,amia,14,84,1.0,1.0,1.0,1.0,1.0,14,14,0,1.0,0.0
legacy,reference,16,96,0.78125,0.8333333333333333,0.9861111111111112,0.8888888888888888,1.0,14,16,2,0.6041666666666666,0.041666666666666664
legacy,wbc,15,90,0.7333333333333333,0.6666666666666666,0.951851851851852,0.6111111111111112,1.0,13,15,2,1.0,0.5333333333333333
legacy,loss,14,84,0.5952380952380952,0.6666666666666666,0.7222222222222222,0.6666666666666666,0.7777777777777778,8,14,1,0.5,0.3095238095238095
legacy,spv_mia,15,90,0.5777777777777777,0.5,0.925925925925926,0.6666666666666666,1.0,6,15,8,0.9777777777777777,0.8222222222222222
legacy,zlib,19,208,0.5563157894736841,0.5,0.6909029239766081,0.5716,0.7777777777777778,6,19,4,0.5287719298245613,0.4161403508771929
legacy,recall,18,108,0.5277777777777778,0.5,0.7037037037037036,0.6666666666666666,0.7777777777777778,3,18,9,0.7037037037037037,0.6481481481481481
legacy,min_k_plus_plus,19,208,0.509298245614035,0.5,0.7161894736842104,0.6076,1.0,2,19,17,0.9989473684210527,0.9803508771929824
legacy,min_k,19,208,0.5,0.5,0.7153684210526315,0.592,0.8888888888888888,0,19,19,0.0,0.0
legacy,neighborhood,19,208,0.5,0.5,0.6729380116959064,0.4444444444444444,0.7777777777777778,0,18,17,0.9649122807017543,0.9649122807017543
legacy,samia,16,96,0.5,0.5,0.5868055555555556,0.3333333333333333,0.8333333333333334,0,12,16,0.0,0.0
pipeline_v1,zlib,2,4,0.5,0.5,0.5,0.0,1.0,0,1,2,0.0,0.0
pipeline_v1,min_k,1,2,0.5,0.5,0.0,0.0,0.0,0,0,1,0.0,0.0
pipeline_v1,min_k_plus_plus,1,2,0.5,0.5,0.0,0.0,0.0,0,0,1,1.0,1.0
theory_v2,amia,1,6,1.0,1.0,1.0,1.0,1.0,1,1,0,1.0,0.0
theory_v2,recall,1,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,1,0,0.3333333333333333,0.0
theory_v2,zlib,1,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,1,0,0.6666666666666666,0.3333333333333333
theory_v2,reference,1,6,0.5,0.5,1.0,1.0,1.0,0,1,1,0.0,0.0
theory_v2,wbc,1,6,0.5,0.5,1.0,1.0,1.0,0,1,1,1.0,1.0
theory_v2,samia,1,6,0.5,0.5,0.7222222222222222,0.7222222222222222,0.7222222222222222,0,1,1,0.0,0.0
theory_v2,min_k,1,6,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,1,1,0.0,0.0
theory_v2,min_k_plus_plus,1,6,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,1,1,1.0,1.0
